Designator,Mid X,Mid Y,Layer,Rotation
C1033,30.6529,67.7133,TopLayer,270
C1032,29.7893,71.2439,TopLayer,90
C1031,31.6943,71.2439,TopLayer,90
C1030,26.1317,68.9071,TopLayer,0
C1029,27.3255,71.1677,TopLayer,90
C1028,25.8269,80.1411,TopLayer,90
C1027,29.0273,79.4481,TopLayer,90
C1026,27.2239,79.4481,TopLayer,90
C1025,23.4139,59.8139,TopLayer,270
C1024,24.7093,59.4075,TopLayer,270
C1023,20.2389,74.5205,TopLayer,180
C1022,25.7253,72.9711,TopLayer,270
C1021,17.6481,74.6221,TopLayer,180
C1020,16.8861,76.5271,TopLayer,180
C1019,29.0527,63.8525,TopLayer,270
C1018,13.2031,75.9429,TopLayer,90
C1017,22.7789,56.5627,TopLayer,270
C1016,5.6339,82.9787,TopLayer,270
C1015,3.2463,84.0201,TopLayer,270
C1014,4.1861,88.3763,TopLayer,270
CN7001,104.8538,11.0312,TopLayer,90
CN7000,103.0913,34.0093,TopLayer,90
R6014,84.3993,75.5111,BottomLayer,270
R6013,91.1811,75.5111,BottomLayer,270
R3003,37.7395,55.6991,TopLayer,90
R3000,5.6847,71.9805,TopLayer,270
C6026,59.5939,58.2949,TopLayer,270
C6025,58.1207,57.5837,TopLayer,270
CN7002,45.0036,39.1637,TopLayer,90
Y7000,94.5744,34.3676,TopLayer,135
CN5005,4.9494,28.8,TopLayer,90
CN5004,4.9533,19.6789,TopLayer,90
CN5003,4.9494,10.5578,TopLayer,90
CN5002,4.9494,47.0422,TopLayer,90
CN5001,4.9494,37.9211,TopLayer,90
CN4006,57.8713,4.9961,TopLayer,180
CN4005,67.4722,4.9961,TopLayer,180
CN4004,77.0731,4.9961,TopLayer,180
CN4002,96.2751,4.9961,TopLayer,180
CN4001,29.0687,4.9961,TopLayer,180
CN1000,25.6163,102.0021,TopLayer,0
ANT7000,104.6517,33.9143,TopLayer,270
U7001,84.2425,30.9037,TopLayer,180
U7000,92.9113,40.7343,TopLayer,180
R7019,36.0377,105.0513,BottomLayer,270
R7018,39.0349,105.0513,BottomLayer,270
R7017,70.1965,39.2226,TopLayer,0
R7016,68.1535,39.2226,TopLayer,180
R7015,33.7517,100.1999,TopLayer,180
R7014,90.1767,31.7177,TopLayer,90
R7013,88.4731,35.2545,TopLayer,90
R7012,87.4481,35.2545,TopLayer,90
R7011,86.4231,35.2545,TopLayer,90
R7010,85.2203,35.2545,TopLayer,90
